date,kospi_close,score,bias,macro,korea,earnings,flows,valuation,technical
2026-05-13,7844.01,54.2,중립,58.4,51.5,70.5,32.9,0.0,88.4
2026-05-14,7981.41,54.0,중립,60.6,48.8,70.8,31.4,0.0,88.4
2026-05-15,7493.18,52.0,중립,53.2,44.5,80.2,27.9,0.4,85.3
2026-05-18,7516.04,51.2,중립,51.1,44.6,82.3,27.4,0.3,82.1
2026-05-19,7271.66,49.9,중립,51.3,43.9,85.1,27.1,0.8,73.9
2026-05-20,7208.95,50.1,중립,54.9,44.5,86.5,27.3,1.0,69.4
2026-05-21,7815.59,49.7,중립,55.6,38.1,80.8,27.8,0.2,75.7
2026-05-22,7847.71,50.2,중립,56.0,39.8,80.9,28.5,0.1,75.8
2026-05-26,8047.51,51.5,중립,55.7,41.1,79.1,33.1,0.0,78.5
2026-05-27,8228.7,53.9,중립,62.6,39.7,76.6,39.1,0.0,80.8
2026-05-28,8185.29,54.6,중립,64.3,40.3,79.6,37.2,0.1,81.6
2026-05-29,8476.15,54.2,중립,64.1,39.2,76.1,37.2,0.0,83.5
2026-06-01,8788.38,52.5,중립,58.2,35.4,73.0,37.0,0.0,85.9
2026-06-02,8801.49,51.5,중립,59.1,35.6,71.2,31.0,0.0,87.2
2026-06-04,8639.41,48.2,중립,55.9,31.4,66.7,25.9,0.2,85.7
2026-06-05,8160.59,44.3,중립,42.6,29.9,72.4,25.4,0.5,76.5
2026-06-08,7484.41,42.4,중립-약세,44.9,25.3,83.4,23.2,1.5,61.6
2026-06-09,8096.93,43.0,중립-약세,47.6,27.8,75.1,23.8,0.6,66.1
2026-06-10,7730.82,41.6,중립-약세,40.1,25.8,84.7,22.2,1.3,62.2
2026-06-11,7763.95,43.6,중립,53.5,28.6,81.8,27.7,1.3,53.3
2026-06-12,8123.62,51.2,중립,55.2,32.9,100.0,35.1,4.4,63.6
2026-06-15,8545.98,55.6,중립,65.8,36.7,100.0,37.5,3.1,70.4
2026-06-16,8726.6,58.6,중립-강세,70.2,35.0,100.0,45.1,2.7,75.2
2026-06-17,8864.24,57.4,중립-강세,57.8,35.3,100.0,47.6,2.4,78.9
2026-06-18,9063.84,59.7,중립-강세,58.5,38.3,100.0,53.0,2.1,82.2
2026-06-19,9052.42,58.9,중립-강세,58.5,38.3,100.0,48.0,2.2,83.3
2026-06-22,9114.55,57.5,중립-강세,57.2,40.1,100.0,40.3,2.0,83.7
2026-06-23,8203.84,49.1,중립,48.4,35.5,100.0,27.7,4.6,65.3
2026-06-24,8471.02,48.9,중립,47.0,35.9,100.0,23.8,3.8,70.2
2026-06-25,8930.3,49.5,중립,44.8,39.0,100.0,23.3,2.5,74.2
2026-06-26,8411.21,45.8,중립,44.9,34.0,100.0,21.5,4.1,60.1
2026-06-29,8394.65,48.7,중립,52.6,38.1,100.0,21.3,4.3,63.9
2026-06-30,8476.48,49.6,중립,54.8,39.5,100.0,21.4,3.9,65.1
2026-07-01,8303.41,47.9,중립,54.6,40.2,100.0,21.7,4.8,55.6
2026-07-02,7648.09,46.4,중립,59.1,35.2,100.0,20.3,9.0,46.5
2026-07-03,8088.34,49.5,중립,59.1,37.3,100.0,22.7,5.8,59.9
2026-07-06,8051.33,50.7,중립,63.6,39.8,100.0,22.8,6.1,59.2
2026-07-07,7656.31,48.0,중립,63.3,41.1,100.0,22.3,9.0,44.0
2026-07-08,7246.79,47.0,중립,65.0,39.7,100.0,25.6,12.5,33.3
2026-07-09,7291.91,49.1,중립,65.7,43.5,100.0,32.6,12.1,33.5
2026-07-10,7475.94,48.6,중립,67.0,41.8,91.7,33.1,10.2,37.7
2026-07-13,6806.93,47.5,중립,59.7,41.7,100.0,30.5,21.2,30.3
2026-07-14,6856.83,49.0,중립,59.7,44.0,100.0,36.6,19.9,30.7
2026-07-15,7284.41,50.1,중립,61.2,44.1,100.0,40.7,11.8,34.4
2026-07-16,6820.6,53.3,중립,68.6,57.2,100.0,37.0,21.3,32.2
2026-07-20,6516.27,52.6,중립,65.0,57.0,100.0,38.6,21.4,31.0
2026-07-21,6747.95,52.9,중립,62.7,57.5,100.0,42.3,26.5,28.3
2026-07-22,6797.7,53.7,중립,67.7,49.4,100.0,48.5,22.3,29.1
