stop_pct,target_pct,rsi_low,pullback_touch,max_hold,train_trades,train_winrate,train_expect,test_trades,test_winrate,test_expect,test_payoff,train_score,test_score
0.04,0.15,35,0.03,10,297,22.6,-0.84,375,22.9,-0.74,2.6,-0.14469696576527663,-0.1428213836444438
0.04,0.15,35,0.03,15,297,20.9,-0.81,375,21.3,-0.55,3.08,-0.1392958723170053,-0.10604589454904993
0.04,0.15,35,0.03,20,296,19.9,-0.72,375,20.8,-0.54,3.2,-0.12314773284500767,-0.10421123933616248
0.04,0.15,40,0.015,10,259,23.6,-0.73,332,24.1,-0.52,2.64,-0.11705332613008171,-0.09412800058848506
0.04,0.15,40,0.015,15,259,21.2,-0.7,332,22.0,-0.36,3.16,-0.1131312567105326,-0.06624989192592212
0.04,0.15,40,0.015,20,258,20.2,-0.63,332,21.7,-0.37,3.21,-0.10057677578866404,-0.06735982610312113
0.04,0.15,40,0.02,10,271,23.2,-0.78,347,23.6,-0.61,2.63,-0.1286673898732899,-0.11300542949462021
0.04,0.15,40,0.02,15,271,21.0,-0.74,347,21.6,-0.47,3.11,-0.12108959696378922,-0.08712355005683346
0.04,0.15,40,0.02,20,270,20.0,-0.65,347,21.0,-0.48,3.21,-0.10695817966661177,-0.09010996045309672
0.04,0.15,40,0.03,10,297,22.6,-0.84,375,22.9,-0.74,2.6,-0.14469696576527663,-0.1428213836444438
0.04,0.15,40,0.03,15,297,20.9,-0.81,375,21.3,-0.55,3.08,-0.1392958723170053,-0.10604589454904993
0.04,0.15,40,0.03,20,296,19.9,-0.72,375,20.8,-0.54,3.2,-0.12314773284500767,-0.10421123933616248
0.04,0.15,45,0.015,10,259,23.6,-0.73,332,24.1,-0.52,2.64,-0.11705332613008171,-0.09412800058848506
0.04,0.15,45,0.015,15,259,21.2,-0.7,332,22.0,-0.36,3.16,-0.1131312567105326,-0.06624989192592212
0.04,0.15,45,0.015,20,258,20.2,-0.63,332,21.7,-0.37,3.21,-0.10057677578866404,-0.06735982610312113
0.04,0.15,45,0.02,10,271,23.2,-0.78,347,23.6,-0.61,2.63,-0.1286673898732899,-0.11300542949462021
0.04,0.15,45,0.02,15,271,21.0,-0.74,347,21.6,-0.47,3.11,-0.12108959696378922,-0.08712355005683346
0.04,0.15,45,0.02,20,270,20.0,-0.65,347,21.0,-0.48,3.21,-0.10695817966661177,-0.09010996045309672
0.04,0.15,45,0.03,10,297,22.6,-0.84,375,22.9,-0.74,2.6,-0.14469696576527663,-0.1428213836444438
0.04,0.15,45,0.03,15,297,20.9,-0.81,375,21.3,-0.55,3.08,-0.1392958723170053,-0.10604589454904993
0.04,0.15,45,0.03,20,296,19.9,-0.72,375,20.8,-0.54,3.2,-0.12314773284500767,-0.10421123933616248
0.05,0.08,35,0.015,10,253,37.2,-0.5,330,33.9,-0.78,1.49,-0.0798683445372311,-0.14101883363747247
0.05,0.08,35,0.015,15,252,36.9,-0.39,330,34.5,-0.78,1.45,-0.06260855822136858,-0.14234162977429435
0.05,0.08,35,0.015,20,252,35.7,-0.4,330,34.5,-0.76,1.47,-0.06295948601911275,-0.13789931921402324
0.05,0.08,35,0.02,10,264,37.1,-0.54,345,33.6,-0.82,1.49,-0.08800580857902611,-0.15306645328574622
0.05,0.08,35,0.02,15,263,36.5,-0.48,345,34.2,-0.83,1.45,-0.0780162888940019,-0.15436017342937985
0.05,0.08,35,0.02,20,263,35.4,-0.46,345,34.2,-0.81,1.47,-0.07386881428990125,-0.1500155079921892
0.05,0.08,35,0.03,10,290,35.9,-0.71,371,33.2,-0.89,1.48,-0.12055255695456339,-0.17165232487244894
0.05,0.08,35,0.03,15,289,35.3,-0.66,371,34.2,-0.83,1.45,-0.1123282675425766,-0.15943929742281632
0.05,0.08,35,0.03,20,289,34.3,-0.64,371,34.2,-0.81,1.47,-0.10837175371123486,-0.1552496359630881
0.05,0.08,40,0.015,10,253,37.2,-0.5,330,33.9,-0.78,1.49,-0.0798683445372311,-0.14101883363747247
0.05,0.08,40,0.015,15,252,36.9,-0.39,330,34.5,-0.78,1.45,-0.06260855822136858,-0.14234162977429435
0.05,0.08,40,0.015,20,252,35.7,-0.4,330,34.5,-0.76,1.47,-0.06295948601911275,-0.13789931921402324
0.05,0.08,40,0.02,10,264,37.1,-0.54,345,33.6,-0.82,1.49,-0.08800580857902611,-0.15306645328574622
0.05,0.08,40,0.02,15,263,36.5,-0.48,345,34.2,-0.83,1.45,-0.0780162888940019,-0.15436017342937985
0.05,0.08,40,0.02,20,263,35.4,-0.46,345,34.2,-0.81,1.47,-0.07386881428990125,-0.1500155079921892
0.05,0.08,40,0.03,10,290,35.9,-0.71,371,33.2,-0.89,1.48,-0.12055255695456339,-0.17165232487244894
0.05,0.08,40,0.03,15,289,35.3,-0.66,371,34.2,-0.83,1.45,-0.1123282675425766,-0.15943929742281632
0.05,0.08,40,0.03,20,289,34.3,-0.64,371,34.2,-0.81,1.47,-0.10837175371123486,-0.1552496359630881
0.05,0.08,45,0.015,10,253,37.2,-0.5,330,33.9,-0.78,1.49,-0.0798683445372311,-0.14101883363747247
0.05,0.08,45,0.015,15,252,36.9,-0.39,330,34.5,-0.78,1.45,-0.06260855822136858,-0.14234162977429435
0.05,0.08,45,0.015,20,252,35.7,-0.4,330,34.5,-0.76,1.47,-0.06295948601911275,-0.13789931921402324
0.05,0.08,45,0.02,10,264,37.1,-0.54,345,33.6,-0.82,1.49,-0.08800580857902611,-0.15306645328574622
0.05,0.08,45,0.02,15,263,36.5,-0.48,345,34.2,-0.83,1.45,-0.0780162888940019,-0.15436017342937985
0.05,0.08,45,0.02,20,263,35.4,-0.46,345,34.2,-0.81,1.47,-0.07386881428990125,-0.1500155079921892
0.05,0.08,45,0.03,10,290,35.9,-0.71,371,33.2,-0.89,1.48,-0.12055255695456339,-0.17165232487244894
0.05,0.08,45,0.03,15,289,35.3,-0.66,371,34.2,-0.83,1.45,-0.1123282675425766,-0.15943929742281632
0.05,0.08,45,0.03,20,289,34.3,-0.64,371,34.2,-0.81,1.47,-0.10837175371123486,-0.1552496359630881
0.05,0.1,35,0.015,10,253,33.2,-0.6,330,32.4,-0.4,1.84,-0.09496139364885756,-0.07200550848482933
0.05,0.1,35,0.015,15,252,31.3,-0.53,330,31.8,-0.4,1.89,-0.084432404587975,-0.07346622319767829
0.05,0.1,35,0.015,20,252,30.2,-0.51,330,31.8,-0.39,1.9,-0.08171143816565156,-0.07082883976814791
0.05,0.1,35,0.02,10,264,33.3,-0.63,345,32.2,-0.46,1.82,-0.10169402542678234,-0.08503169928717243
0.05,0.1,35,0.02,15,263,31.2,-0.6,345,31.6,-0.47,1.87,-0.09691236272454488,-0.08785134103861994
0.05,0.1,35,0.02,20,263,30.0,-0.55,345,31.3,-0.47,1.9,-0.08852466835092884,-0.08717816173115624
0.05,0.1,35,0.03,10,290,32.1,-0.77,371,31.8,-0.51,1.82,-0.1311264720398455,-0.09916339469023698
